,premise,hypothesis,labels,genre
6366,"I guess history repeats itself, Jane.",It is possible history repeats itself.,0,fiction
6367,it was really easy i mean just just did a thumb print you know,It was very easy because I just did a thumb print.,0,telephone
6368,they they are good,They're excellent.,0,telephone
6369,Endorphins were flowing.,I was very calm and collected.,1,fiction
6370,He was standing in front of a grey backdrop- somewhere that could be anywhere.,You couldn't tell where he was because he was in front of a backdrop.,0,fiction
6371,5 are highly correlated during summer months in some areas.,Five are correlated during the summer in certain areas.  ,0,government
6373,"As Malaysia has moved resolutely into the modern age, it has also remained, culturally and historically, a rich, multi-layered blend of traditions wrapped up within a modern, busy economy.","Malaysia has many rich, multi-faceted traditions within a current, busy economy. ",0,travel
6375,"All of the islands are now officially and proudly part of France, not colonies as they were for some three centuries.",The islands were not allowed to join France.,1,travel
6376,"First, injected cannabinoids may not mirror the effects of smoked marijuana.",It's all the same whether you smoke marijuana or inject it.,1,slate
6377,okay okay that's it that GTE had purchased Tigon and yeah that's what we have,We aren't sure if Tigon has been bought yet.,1,telephone
6379,"For example, a case study of the effectiveness of a job training program might need to take into account general economic trends, such as unemployment rates in the community.",General economic trends would have to be considered by a case study on job training effectiveness.,0,government
6381,Our work has also shown that agencies can do a better job of providing incentives to encourage employees to improve performance and achieve results.,Employee performance can be improved with incentives.,0,government
6382,i quit i quit drinking at oh a long time ago quit drinking i didn't smoke i don't smoke i gave everything up so i guess i don't know what just old age i guess is why i,I quit drinking and smoking so I guess it is just old age.,0,telephone
6383,I found Steven E. Landsburg's piece Pay Scales in Black and White extremely unconvincing.,I was unimpressed by Landsburg's pay Scales in Black and White.,0,slate
6385,and going to school is also always very prohibitive now unless your parents are wealthy,Wealthy parents are not necessary.,1,telephone
6386,It incorporates a risk assessment methodology intended to reduce audit planning time and ensure that significant issues are included.,It does not use a risk assessment methodology due to time constraints.,1,government
6387,I awoke looking up at stone lit by fire.,The fire was burning nearby.,0,fiction
6388,"Happily, there's still a lot that hasn't yet been adulterated on the two islands'meaning that visitors also have a choice.","Everything on the island has been downsized and commodified, so visitors can only do one thing.",1,travel
6389,"All of our many earnest experiments produced results in line with random chance, they conclude.",The experiments proved that it was no different that random chance.,0,slate
6390,I take it Americans have a higher opinion of morality than you have even.,I feel that Americans value morality more than you do.,0,fiction
6391,"Later, Tom testified against John so as to avoid the electric chair.","Tom refused to turn on his friend, even though he was slated to be executed.",1,slate
6392,no never heard of it,It was a popular type of latex house paint.,1,telephone
6393,and they're fairly close to the water aren't they i mean they're right on the late,They're a distance from the water aren't they.,1,telephone
6395,"First, injected cannabinoids may not mirror the effects of smoked marijuana.",The effects of injected cannabinoids might be different than smoking them.,0,slate
6399,"Second tier, but nearly as promising, are Morales of Texas, Scott Harshbarger of Massachusetts, and Dennis Vacco of New York.",Vacco is from Texas.,1,slate
6400,"Managing better requires that agencies have, and rely upon, sound financial and program information.","To manage better, agencies often need to rely on unsound information.",1,government
6401,But they reached a shrubbery near the house quite unmolested.,"Try as they might, they could not reach the shrubbery unmolested.",1,fiction
6402,8 million in relief in the form of emergency housing.,Emergency housing relief totaled 8 million dollars.,0,government
6403,uh-huh oh yeah all the people for right uh life or something,yeah lots of people for the right life ,0,telephone
6404,He threw one of them and shot the other.,He kept his gun holstered.,1,fiction
6406,Bien! he said at last. ,He wasted no time speaking. ,1,fiction
6407,CHAPTER 6: HUMAN CAPITAL,"Capital is money, not people.",1,government
6408,6 cents are used for domestic investment.,Investing in domestic companies.,0,government
6409,"Now sink of sorrow I who live--the more the wrong!Who wishing death, whom death denies, whose thread is all too long;Who tied to wretched life, who looks for no relief,Must spend my ever dying days in never ending grief.",I live in a constant state of despair and depression. ,0,slate
6410,"Trump, who said he would decide by March whether to run for president, would likely spend $100 million to $200 million of his own money on a campaign.","Even if he ran from President, Trump's campaign would not receive any of his money. ",1,slate
6411,Piccadilly Tube station.,Piccadilly subway station. ,0,fiction
6414,"Most of the dances are suggestive of ancient courtship rituals, with the man being forceful and arrogant, the woman shyly flirtatious.",Traditional dating generally involves an alpha male with a beta female.,1,travel
6415,that's really true a lot of it is um the color certain colors seem to be more acceptable,Certain colors seem to be more acceptable.,0,telephone
6416,uh-huh and is it true i mean is it um,It is completely wrong.,1,telephone
6417,"Lie back, and DON'T THINK.",Stand up and start thinking.,1,fiction
6418,NHTSA noted that the only other possible interpretation of section 330 was to treat the phrase standards promulgated . . . prior to the enactment of this section as,"The only other possible interpretation of section 330 was to treat the phrase standards promulgated, as noted by NHTSA.",0,government
6419,The experiment lasted only until Ahkenaten's death when almost all records relating to the King were destroyed.,The experiment ended with Ahkenaten's death and people became curious.,1,travel
6421,"From ethnic food shops and vintage clothing stores to electronics and book shops, there are so many interesting shopping spots that it is hard to imagine their breadth and depth.",There isn't a wide variety of shopping spots.,1,travel
6423,you know Arnold Schwarzenegger is getting to be uh a bit of a variety actor you know at first he was just a big muscle man but he's kind of branching out,Arnold Schwarzenegger has become somewhat of a variety actor.,0,telephone
6425,"The seven grants flow from a new Nonprofit Capacity Building program at the foundation, part of a trend among philanthropists to give money to help organizations grow stronger, rather than to the program services they provide.",The grants flow from the Executive branch of the United States government.,1,government
6426,uh right now we're actually having uh it's getting nice i mean it was in the high fifties today but three and a half weeks ago we had an ice storm,Temperatures are still below the freezing point outside.,1,telephone
6429,but i think let's see the teams that were there last year were see somebody from California i don't even know who won the pennant last year,I'm not really interested in last year's teams because I know who the winner was and that's all that counts.,1,telephone
6430,This one ended up being surprisingly easy!,This question was very easy to answer. ,0,slate
6431,It vibrated under his hand.,It hummed quietly in his hand.,0,fiction
6432,"Oh, I I haven't quite worked that out.",I have figured it all out.,1,fiction
6433," The Romans never really infiltrated Ibiza, and even after the defeat of Hannibal in 202 b.c. during the Second Punic War their influence was restrained.",The Romans didn't infiltrate Ibiza.,0,travel
6434,"This whole unsavory episode brings back memories of skits with Monty Python ! One of my favorite lines was, You are guilty of six--no, seven--charges of heresy.",This episode reminds me of skits with Monthy Python.,0,slate
6435,Yet Mrs. Inglethorp ordered a fire! ,No one asked for a fire.,1,fiction
6436,"In the short term, U.S. consumers will benefit from cheap imports (as will U.S. multinationals that use parts made in East Asian factories).",U.S. consumers and factories in East Asia benefit from imports.,0,slate
6438,"If not the most beautiful, the chateau is certainly the most formidable in the Loire Valley, a real defensive fortress, its black ramparts still forbidding despite having had their towers decapitated on the orders of Henri III.",The chateau is certainly the least formidable in all of the Loire Valley.,1,travel
6440,but like they always say you know got a good profit sharing plan just no profit,"It's a good way of sharing money, but there's no money.",0,telephone
6441,I noticed that there was a long branch running out from the tree in the right direction.,There was a rather lengthy branch that was pointing in the right direction.  ,0,fiction
6443,Growth &amp,Expansion.,0,slate
6444,"Nonetheless, the rationality of service tiers remains.",Rationality of service tiers continues on.,0,government
6445,no not it not no it's a it's not something,It's not something,0,telephone
6446,The Journal put the point succinctly to  Is any publicity good publicity?,"The Journal asked ""Is any publicity good publicity?""",0,slate
6447,Where alternative country runs into trouble is its tendency to ignore what's durable about country in favor of its stereotypical hay-bales-and-whiskey-bottles shtick.,Stereotypical things like whiskey bottles and hay-bales represents alternative country.,1,slate
6448,"Perhaps North Africans and eastern Europeans peopled the Ligurian coast, while the Adriatic and south may have been settled by people from the Balkans and Asia Minor.","North Africans and eastern Europeans eagerly accepted the prospect of staying where they were, while those from Asia Minor and the Balkins settled on the Lingurian coast.",1,travel
6449,Figure 1:  Delivery Points to Stops,The third figure covers delivery points to stops,1,government
6450,"So unlike people who are fortunate enough to be able to afford attorneys and can go to another lawyer, our clients are simply lost in the legal system if they cannot get access to it from us.",Our clients can afford attorneys and bouncing between lawyers.,1,government
6451,uh i really i miss college i had a good time,I enjoyed my time in university. ,0,telephone
6453,"In fact, the Flamingo would launch over two decades of strong mob presence in Las Vegas.",The Flamingo would launch and a large mob presence would exist in Las Vegas.,0,travel
6454,"However, assuming the procedural requirements of Chapter 36 are met, changes negotiated by the Postal Service and a mail user for their mutual benefit may merit recommendation under the applicable statutory standards.",Changes negotiated by the Postal Service and a mail user for their mutual benefit may merit recommendation under the applicable statutory standards.,0,government
6455,Several of the organizations had professional and administrative staffs that provided analytical capabilities and facilitated their members' participation in the organization's activities.,Many organizations facilitated members' participation in their activities.,0,government
6456,"In particular, the model provides a useful framework for assessing the long-term implications of alternative budget policies through their effect on national saving.",This model is useful for seeing how certain budget policies affect national saving.,0,government
6457,"I have been visiting an old woman in the village, she explained, ""and as Lawrence told me you were with Monsieur Poirot I thought I would call for you.""",I don't know anyone in the village. ,1,fiction
6459,well the first thing for me is i wonder i see a couple of different ways of talking about what privacy is um if privacy is something that disturbs your private state i mean an invasion of privacy is something that disturbs your private state that's one thing and if privacy is something that comes into your private state and extracts information from it in other words finds something out about you that's another and the first kind of invasion of the first type of privacy seems invaded to me in very much everyday in this country but in the second type at least overtly uh where someone comes in and uh finds out information about you that should be private uh does not seem uh um obviously everyday,"Talking about privacy is a complicated topic, there are a couple different ways of talking about it, for example privacy is something that disturbs your private state...",0,telephone
6461,"For centuries, the Loire river was a vital highway between the Atlantic and the heart of France.",The Loire connected central France to the Atlantic.,0,travel
6462,A man like me cannot fail… .,A man such as me cannot fail...,0,fiction
6463,Angry consumers would complain about cheapo car care.,Angry consumers don't bother to complain about cheapo car care.,1,slate
6464,"But it's for us to get busy and do something.""","""We need to just stay inside and relax.""",1,fiction
6465,Do not talk.,Don't say anything.,0,fiction
6466,"Keep young skins safe by covering them with sunblock or a T-shirt, even when in the water.",Sunblock should be used to protect skin from the sun.,0,travel
6467,"Sure, the man yells back, you're in a hot air balloon about 30 feet above this field.",The man remains silent and merely smiles ,1,government
6468,One opportunist who stayed was Octavius Decatur Gass.,One opportunist who stayed went by the name Octavius. ,0,travel
6469,"The regime's response of ferocious repression plus numerous other ineptitudes led to a third revolution in 1848, with the Bonapartists, led by Napoleon's nephew, emerging triumphant.",The Bonapartists were led by Napoleon's nephew.,0,travel
6470,"The Black River, at 71 km (44 miles), is the longest in Jamaica; it was an arterial route used to transport rum and lumber from the inland plantations.",The Black River is measured at seventy-one kilometers in length.,0,travel
6471,"Well, we will come in and interview the brave Dorcas."" Dorcas was standing in the boudoir, her hands folded in front of her, and her grey hair rose in stiff waves under her white cap. ",Dorcas will be asked questions and is brave with Grey hair. ,0,fiction
6475,"Well, shut it then, laughed the woman.",The woman was full of sadness and sat by herself.,1,fiction
6476,So it was traumatic.,It wasn't traumatic for me. ,1,slate
6477,okay  i guess i'll get back to my laundry,I think I will go finish up my laundry. ,0,telephone
6478,The baker was not jolly.,The baker wasn't happy.,0,slate
6479,Programs in Michigan and the District of Columbia received one-year grant terms for 2002.,Programs in Michigan receive no grants at all. ,1,government
6481,We start with the fine review of a shockingly funny comedy about eye disease.,The comedy about eye disease was hilarious.,0,slate
6483,"Poor Dave, she said.",She was happy for Dave.,1,fiction
6484,I now submit this report to you and the other designated officials.,I submit the report to you and the other officials ,0,government
6486,"His voice was even and calm, not a hint of rage.",He was a mess of nerves and rage.,1,fiction
6487,The Government does not sacrifice anything of value in exchange and the entity that forfeits the property does not receive anything of value.,The Government does not provide compensation for forfeited property.,0,government
6489,uh there's uh some very nice places like the bass which is a uh sort of a huge monolithic rocks that you can you can walk up the beach and into these uh enormous caverns that are partially submerged and you can wade in the pools and so forth very popular tourist spot,"One good thing to visit is the huge rocks near the beach, because you can go inside these amazing caverns, and play in the pools formed in the rocks. ",0,telephone
6490,The museum is well laid out and the perfect size for relaxing away a couple of hours on a wet day.,The museum is well designed and just the right size for taking up several hours on a wet day.,0,travel
6491,Big Game Fishing and Boat Trips.,Boat voyages and big game fishing.,0,travel
6493,"Hence, it appears likely that the proportion of LC to AO mail is less for inbound mail than for outbound.",It looks like the proportion of LC to AO mail is less for inbound mail than for outbound.,0,government
6494,The national award was created to recognize an attorney in practice for less than 10 years for excellence in public interest or pro bono activities.,There is a national award given to attorneys who have been practicing for less than a decade. ,0,government
6495,The FCC will publish a notice in the Federal Register when such approval is granted.,"After approval is granted, the FCC not will publish a notice in the Federal Register.",1,government
6496,yeah uh yeah absolutely and the credit union has nine percent interest so yeah so that's,The credit union has one hundred percent interest so yeah.,1,telephone
6498,You know.,You do not know.,1,slate
6500,"a 808(2) only applies if the agency finds with good cause that notice and public procedure thereon are impracticable, unnecessary, or contrary to the public interest.",An agency determines if an 808(2) is applicable.,0,government
6501,uh it's in Georgia it's yeah it's right outside of Macon and and it's just a i like the way that i like the way that idea of the south is,It's located just outside of Macon in Georgia.,0,telephone
6502,"But it was quite a natural suggestion for a layman to make.""",No one could think of a single idea. ,1,fiction
6504,It was always a part of me.,It was never within me.,1,government
6505,Many restaurants and bars have live music.,Live music can be found at many restaurants and bars. ,0,travel
6506,you know things like that But i don't follow any team i check the scores the next morning and i know how everybody's doing and that suffices me But,"I have two favorite teams, and I always watch their games.",1,telephone
6507,yeah well i'm a hot weather person i'm i can take the heat but i don't like the cold,I do not like warm weather at all.  ,1,telephone
6508,well that's good that's great,"Shit, that is bad, that is horrible.",1,telephone
6509,Everybody has this quote from NBA commissioner David  You cannot strike your boss and still hold your job--unless you play in the NBA.,NBA commissioner said NBA opens more possibilities than other jobs,1,slate
6510,The analyses comply with the informational requirements of the sections including the classes of small entities subject to the rule and alternatives considered to reduce the burden on the small entities.,The analyses try to follow informational requirements for relevant small entities.,0,government
6512,"The Congress, which controls our funding levels, began to include many members who did not support the purpose and goals of a federal civil legal services program.",the congress has no responsibility when it comes to controlling funding levels. ,1,government
6514,"Don't take it to heart, lad, he said kindly.",He was trying to console the lad.,0,fiction
6516,"In short, most of the whale is incompressible.",Every part of a whale is compressable.,1,slate
6517,um yeah we've tried to do that we've paid ours off you know all the way down to where we had everything down to zero and especially right before i i quit work two years ago to stay home with the kids,We have paid ours off all the way down to zero.  ,0,telephone
6520,Tommy felt his ascendancy less sure than a moment before.,Tommy got more sure about his ascendancy.,1,fiction
6521,In the vaults of the Bank.,In the cash register at the bank.,1,fiction
6522,yeah but uh do you have small kids,Do you have young children?,0,telephone
6523,"Smart men make good thieves, as long as they're desperate.",A desperate and smart man makes a good thief.,0,fiction
6524,"3)  Dare you rise to the occasion, like Raskolnikov, and reject the petty rules that govern lesser men?",Would you rise up and reject any rules that come up,0,slate
6525,Accusations of corruption among officials in Rao's administration in 1995 also paved the way for a comeback.,"People accused Rao officials of corruption, which led to a comeback.",0,travel
6526,It was made up to look as much like an old-fashioned steam train as possible.,They dressed it up as a modern bullet train.,1,fiction
6530,"This is the island's main city and financial, governmental, and administrative centre, and its charms match those of other Mediterranean  jewels.  ",The city has a lot of banks and other types of financial institutions. ,0,travel
6531,"It may be that the best way to read this text in the years ahead will not be with a magnifying glass, but through the looking glass--as a prism to discern what the political culture that produced Nixon shares with our own.",A prism will be necessary to discern what the political culture that produced Nixon shares with our own.,0,slate
6532,"There followed the Balkan Wars, in which Turkey lost western Thrace and Macedonia, then World War I, into which Turkey entered on Germany's side.",Turkey entered the first world war fighting against Germany.,1,travel
6534,He was crying like his mother had just walloped him.,He cried like his mom hit him.,0,slate
6535, Jon sat down on the ground cross legged.,The man was standing on the ground.,1,fiction
6536,It's thought he used the same architect who worked on the Taj Mahal.,Everyone thinks he used a different architect from the one who worked on the Taj Mahal.,1,travel
6538,it depends a lot of uh a lot of things were thought that uh as you know the farmers thought okay we got chemicals we're putting chemicals on the field well the ground will naturally filter out the,There is not point in putting farming chemicals in the ground.,1,telephone
6539,Recommendations,dislikes,1,government
6541,I still didn't trust the little buggers.,"Due to past experiences, I could not trust the small creatures I saw.",1,fiction
6542,The chain wielder smiled at her.,The chain wielder frowned at her.,1,fiction
6543,The Wall Street Journal Business Bulletin has a fact that dramatizes how profoundly well-off this country is--Americans throw out approximately 12 percent of the stuff they buy at the supermarket.,Americans just throw away 12 percent of what they buy at supermarkets.,0,slate
6544,Number of testimonies,There are no testimonies.,1,government
6546,Click here for Finkelstein's explanation of why this logic is expedient.,Do not click here for Finkelstein's explanation of why this logic is silly.,1,slate
6547,"I've thought it well over  """,I thought about it long and hard. ,0,fiction
6548,"It is also sometimes called simply Beaubourg, after the 13th-century neighborhood that surrounds it.",The neighborhood that surrounds it is from the 10th-century.,1,travel
6550,The spear missed Vrenna by only a hand-span.,The spear smacked the man in the face. ,1,fiction
6551,"3)  Dare you rise to the occasion, like Raskolnikov, and reject the petty rules that govern lesser men?",Would you sit back and watch the world burn?,1,slate
6552,"A member of the only student-run chapter of the American Civil Liberties Union in New York state, Zelon worked to resolve disputes between students and police officers to help protect the public's right to peaceful protest.",Zelon is the only student-run chapter of the American Civil Liberties Union in New York state.,0,government
6553,"Hey, no problem, a fine policy.",The worst policy ever.,1,slate
6554,"He wanted silk and encouraged the Dutch and British as good, nonproselytizing Protestants just interested in trade.",He had no interest in silk or trading.,1,travel
6555,"It will be held in the Maryland woods, and the telecast will consist of jittery footage of the contestants' slow descent into madness as they are systematically stalked and disappeared/disqualified by Bob Barker.",The show will be set in Florida.,1,slate
6556,That's why we tried to kill you.,That's why we saved your life.,1,fiction
6558,"Strange as it may seem to the typical household, capital gains on its existing assets do not contribute to saving as measured in NIPA.",The increased equity of a house may not be considered as savings by NIPA.,0,government
6559,right well there's yeah there there's going to be some measure of incentive uh reward or whatever but the reward ultimately ultimately comes down to what you want,There has to be some sort of incentive.,0,telephone
6560,yeah uh-huh oh yeah petting zoos and things,Nothing related to petting zoos.,1,telephone
6561,There never will be.,It should happen soon.,1,fiction
6564,uh-huh so do you have to get a shade tolerant grass is that what you're,All grass seed needs full sun to grow.,1,telephone
6565,That had been made by the Cadets (Constitutional Democrats) under Prince Lvov.,The Cadets made that under Prince Vlad.,1,slate
6566,yeah maybe the maybe they'll bring their good schools with them  you know if the industry comes,"If the industry comes, it will foster the creation of better schools.",0,telephone
6567,"He married Dona Filipa Moniz (Perestrelo), the daughter of Porto Santo's first governor, and lived on the island for a period, fathering a son there.","He made a life for himself on the island, marrying Dona Filipa Moniz and siring a son.",0,travel
6568,"67 through .67d, provide a mechanism for limiting the issues on which a trial-type hearing is required; allow the Postal Service to explain the unavailability of data that would otherwise have to be filed; and provide for data collection for the duration of the experiment.",67 through .67d does not provide mechanism for limiting issue on which trial-type hearing is required allowing postal service to explain unavailability of the data.,1,government
6569,and not only is it you know trouble to have to drive but it takes time away from your home and your family when you're out driving,Driving is difficult because it is time consuming.,0,telephone
6570,but like they always say you know got a good profit sharing plan just no profit,There's a lot of money in this profit sharing plan.,1,telephone
6571,Rehnquist's conferences are no-nonsense.,His conferences are serious.,0,slate
6572,well what is it,Don't tell me about it.,1,telephone
6573,um-hum with the ice yeah,Correct with the frozen water (ice).,0,telephone
6574,He's too cautious.,He's too gung-ho and reckless.,1,slate
6575,It incorporates a risk assessment methodology intended to reduce audit planning time and ensure that significant issues are included.,It mixes a risk assessment methodology into the process to ensure that significant issues are included.,0,government
6578,"They greatly outnumber the 6,500-odd human inhabitants mostly white, many the descendants of Huguenots from Brittany and Normandy.",There are only 5 people who live there.,1,travel
6580,"Carmel Man, a relation of the Neanderthal family, lived here 600,000 years ago.",Carmel Man is a camel representing a cigarette brand.,1,travel
6581,"Some of the salesladies at this colorful, soft-sell market wear traditional Martinique costumes.","The market is seen to be colorful, and soft-sell.",0,travel
6583,"Most produce is locally grown, with some from the restaurant's own organic garden.",All of the produce comes from Mexico.,1,travel
6584,uh yeah they were uh they were very good i was impressed,They were impressive to me.,0,telephone
6585,"He was a pilot, not a platoon leader.","He was no platoon leader, but a lowly pilot.",0,slate
6586,"Second, reducing the rate of HIV transmission is in any event not the only social goal worth  If it were, we'd outlaw sex entirely.","Reducing HIV is important, but there are also other worthy causes.",0,slate
6587,The disputes among nobles were not the first concern of ordinary French citizens.,Nobles having disputes were not the first concern for ordinary French citizens.,0,travel
6589,"If you have any questions about this report, please contact Henry R. Wray, Senior Associate General Counsel, at (202) 512-8581.","Henry R. Wray, Senior Associate General Counsel, can be contacted at (202) 512-8581.",0,government
6590,"Working groups were established to coordinate training statewide, to focus on the establishment of a statewide website and to continue coordination and sharing in technology matters.",Groups were formed to disband training around the state.,1,government
6591,They even smiled at Susan and she smiled back.,They frowned at Susan.,1,fiction
6593,He walked out into the street and I followed.,I followed him down the street.,0,fiction
6594,This northern beach of magnificent tan sand is most agreeably reached by boat.,The beach has beautiful sand.,0,travel
6595,"At 79 m (260 ft) wide and 36 m (118 ft) high, it was built by the Ptolemies during a total reconstruction of the temple in the years 237 105 b.c.",The Ptolomies never built any temples at all.  ,1,travel
6596,"Consider the Globe : As the respectable media have become sleazy, the Globe has become sleazier.","As the Globe gets sleazier, the respectable media becomes less so.",1,slate
6597,"The rule prohibits the sale of nicotine-containing cigarettes and smokeless tobacco to individuals under the age of 18; requires manufacturers, distributors, and retailers to comply with various conditions regarding the sale and distribution of these products; requires retailers to verify a purchaser's age by photographic identification; prohibits all free samples; limits the distribution of these products through vending machines and self-service displays by permitting such methods of sale only in facilities where access by individuals under 18 is prohibited; limits the advertising and labeling to which children and adolescents are exposed; prohibits promotional, non-tobacco items such as hats and tee shirts; prohibits sponsorship of",This rule will make the sale of tobacco products to people under 18 years old legal in every state and Mexico. ,1,government
6598,Nash showed up for an MIT New Year's Eve party clad only in a diaper.,Nash showed up in a suit.,1,slate
6599,The church has an even more elaborate Baroque pulpit.,The church has a Barogue style pulpit,0,travel
6600,You have to have good peripheral vision and you have to really concentrate.,It takes extreme focus and a strong awareness of your visual surroundings.,0,slate
6602,The category of qualifying teen-agers and women could include all recipients of welfare or other public assistance (including daughters of recipients) who are competent to give informed consent to the implant procedure.,Women who are on welfare qualify for the implant procedure.,0,slate
6603,and see the thing is you know he go out and he'll spend it when he wants you know and uh uh i'm afraid to i'm afraid to use that credit card,I'm scared to use the credit card.,0,telephone
6604,Black professionals braid their hair to display their ethnic pride.,Blacks braid their hair because they're forced to.,1,slate
6605,"General Accounting Office, A Model of Strategic Human Capital Management, GAO-02-373SP (Washington, D.C.: Mar.",The GAO is a model of strategic human capital management.,0,government
6606,The baker was not jolly.,The baker was very festive last night.,1,slate
6607,Many Greeks in Asia Minor were forced to leave their homes and brought an influence of eastern cadences with them.,Many of the Greeks living in Asia minor had to flee. ,0,travel
6608,"If you have the energy to climb the 387 steps to the top of the south tower, you will be rewarded with a stunning view over the city.",There are 400 steps to the top of the south tower.,1,travel
6609,The sacred is not mysterious to her.,The woman does not know anything sacred.,1,slate
6610,All-inclusive units are in villas and a great house in tropical setting overlooking Caribbean.,The all-inclusive units are considered villas.,0,travel
6612,"Civil libertarians denounced it as an improper church-state partnership, a sectarian scheme to milk the taxpayer, and a feel-good diversion from the rest of the coalition's agenda.",The coalition has been distracted from its agenda.,1,slate
6613,Respondents to the Board's question on whether the alternatives of presenting costs of Federal mission PP&amp,The board had no questions about the alternatives of presenting federal costs.,1,government
6615,"Despite their 17th-century origins, these gardens avoid the rigid geometry of the Tuileries and Ver?­sailles.",The gardens are not shaped like the Tuileries or Versailles.,0,travel
6617,"The Chinese calendar was used to calculate the year of Japan's foundation by counting back the 1,260 years of the Chinese cosmological cycle.",Japan's foundation was determined by using the Chinese calendar.,0,travel
6618,yes i i always turn on the TV set and it seems like i catch that program in the last five minutes and,I don't own a television set.,1,telephone
6619,"Asked about abortion the other day on CNN, Republican National Committee Chairman Jim Nicholson also invoked what is apparently the party-line  inclusive party.",The Republican National Committee Chairman gave the party's standard answer on the subject of abortion when he was asked about it on CNN.,0,slate
6621,Lincoln glared.,The man glared.,0,fiction
6622,"On various episodes he is a member, along with Bluebeard and the Grim Reaper, of the Jury of the Damned; he takes part in a snake-bludgeoning (in a scandal exposed by a Bob Woodward book); his enemies list is used for dastardly purposes; even his dog Checkers is said to be bound for hell.",There are no episodes where he is a member of anything.,1,slate
6624,He watched the river flow.,The riverbed was completely dry.,1,fiction
6625,"We'll be the first to admit we make mistakes, but most of those are bureaucratic.",We make mostly bureaucratic mistakes; other types are rare.,0,government
6627,"Cultural festivals are one opportunity, but the better way is at a private wedding or feast day when the performances are set in their true context.",Cultural festivals are the best place to have performances.,1,travel
6630,This is arguably starting to distort the practice of science itself.,The practice of science remained exactly the same.,1,slate
6633,The company later told us that it had discontinued the program because of its adverse effect on employee morale.,The company later told us that it had enhanced the program due to high morale.,1,government
6635,"Regulation M is adopted under the Securities Act, 15 U.S.C.","Securities Act, 15 U.S.C is related to Regulation M.",0,government
6636,ENVIRONMENTAL PROTECTION AGENCY,Agency which is responsible for the protection of the environment.,0,government
6639,"Did Meriwether Lewis really commit suicide, as historians claim?","Was Lewis' death a suicide, as has been said by historians?",0,slate
6640,"Thus, recent evidence suggests that by not including an estimate of reductions in short-term mortality due to changes in ambient ozone, both the Base and Alternative Estimates may underestimate the benefits of implementation of the Clear Skies Act.",Recent findings say that Base and Alternative estimates may not quite see all of the benefits of the Clear Skies Act.,0,government
6642,"Possibly three months.""",At no time ever. ,1,fiction
6643,"As the double-decker boats get ready to leave the pier, bells ring, the gangplank is raised, deckhands in blue sailor suits man the hawsers, and a couple of hundred commuters begin a seven-minute sightseeing tour.",You will know when the boats are ready to leave when the bells ring and the gangplank is raised.,0,travel
6644,The following are examples of how agencies engaged employee unions.,"Agencies can engage employee unions, for example:",0,government
6646,He was standing in front of a grey backdrop- somewhere that could be anywhere.,He stood in front of a backdrop.,0,fiction
6649,"Information is the resource-extractive industry of the next century, and the concept of intellectual property --a term that dates back 150 years--comes up when individuals or companies assert a particular claim and embody it in the form of copyrights, trademarks, and patents.",The idea and term of intellectual property has been around for a while.,0,slate
6650,"Enter the realm of shopping malls, where everything you're looking for is available without moving your car.","A shopping mall is a sparse network of stores, that requires a significant amount of travel to go from one store to another.",1,travel
6651,"Now open political debate flourished, especially in Calcutta where Karl Marx was much appreciated.","Now political debate died down in Calcutta especially, where Karl Marx was hated.",1,travel
6652,"Lawyers in their first three years of practice or who are inactive pay $90, and retired lawyers pay nothing.",No lawyers are told to pay.,1,government
6653,"In a six-year study, scientists fed dogs and other animals irradiated chicken and found no evidence of increased cancer or other toxic effects.",Scientists gave animals irradiated chicken and they were fine.,0,slate
6654,"What a brilliantly innocuous metaphor, devised by a master manipulator to obscure his manipulations.",The metaphor was created by the manipulator.,0,slate
6655,"Their supplies scarce, their harvest meager, and their spirit broken, they abandoned the fort in 1858.",Their spirit was never broken despite having no more food.,1,travel
6656,oh yeah all all mine are uh purebreds so i keep them in,none of mine are mutts,0,telephone
6657,He writes that it's the first time he's added such a track.,He creates tracks like this all the time.,1,slate
6658, the winged Victory of Samothrace and the beautifully proportioned Venus de Milo.,The Venus de Milo has beautiful proportions.,0,travel
6659,"Marina del Rey is another, where you can also charter a yacht.",Marina del Rey is the areas premier dingy rental location.,1,travel
6660,"Last year at Tuscaloosa's Turning Point Domestic Violence Sexual Assault Services, half of the 160 women who sought shelter used Legal Services, said executive director Kathy Benitez.",Only 4 of the 330 women who were in search for shelter used Legal Services.,1,government
6663,"Oh, yes, sir. Dorcas was looking very curiously at him and, to tell the truth, so was I. ",We had no interest in him at all.,1,fiction
6664,"Look, it's your skin, but you're going to be in trouble if you don't get busy.",Don't let anyone see you working or you might get in trouble.,1,fiction
6666,"We'll be the first to admit we make mistakes, but most of those are bureaucratic.",We never make mistakes.,1,government
6669,and you back in you know and or just pull into your spot and uh some you can rent by the year some you can rent daily or nightly or by the week or whatever,"Some of them you can rent by the year, others daily or weekly.",0,telephone
6670,"Small boats tie up here with batches of crayfish, fresh fish, and eel, and housewives clamor for the fishermen to weigh their choices on rudimentary scales.","The fishermen fish crayfish, fresh fish, and eel.",0,travel
6673,"Most of France went enthusiastically into World War I, and came out of it victorious yet bled white.",Most of France felt patriotic and supportive of WWI.,0,travel
6675,well i hear my kids are needing me again so i'll go see what they need  and we'll maybe talk to you again,I need to check and see what my kids need.,0,telephone
